ItemID	Accessories Included	Accessory Type	Bag Color	Bag Depth	Bag Height	Bag Length	Bag Material	Bag Width	Ball Valve Lockout Type	Base Clamping Unit Height	Base Clamping Unit Material	Blocking Arm Height	Blocking Arm Material	Blocking Arm Size	Blocking Arm Width	Blockout Height	Body Color	Body Depth	Body Height	Body Material	Body Width	Box Color	Box Depth	Box Height	Box Interior Features	Box Material	Box Width	Cabinet Color	Cabinet Depth	Cabinet Finish/Coating	Cabinet Height	Cabinet Interior Features	Cabinet Material	Cabinet Type	Cabinet Width	Cable & Chain Lockouts Included	Cable Color	Cable Diameter	Cable Finish/Coating	Cable Length	Cable Lockout Type	Cable Material	Circuit Breaker Lockout Type	Clear Window?	Cleat Depth	Cleat Height	Cleat Width	Color	Component Type	Cylinder Valve Lockout Type	Depth	Device Types in Kit	Door Type	Electrical Lockouts Included	Enables Industry Compliance	Finish/Coating	Fittings Accommodated	Fuse Size	Gate Valve Lockout Type	Group Lockout Boxes Included	Handle Thickness	Handle/Toggle Width	Hanging Hardware Included?	Hasp Body Color	Hasp Depth	Hasp Height	Hasp Material	Hasp Type	Hasp Width	Hasps Included	Height	High-visibility?	Hose Lockout Type	Includes	Inside Jaw Size	Installation Tool Required?	Label Language	Label Message	Labeled?	Labels Included	Lockable?	Lockout Box Color	Lockout Box Depth	Lockout Box Height	Lockout Box Material	Lockout Box Type	Lockout Box Width	Lockout Color	Lockout Depth	Lockout Diameter	Lockout Height	Lockout Length	Lockout Material	Lockout Size	Lockout Type	Lockout Width	Manuals & Training Materials Included	Material	Maximum Cord Diameter	Maximum Handle Thickness	Maximum Handle Width	Maximum Number of Padlocks	Maximum Number of Padlocks Attached	Maximum Number of Padlocks Stored	Maximum Pipe Diameter	Maximum Plug Diameter	Maximum Plug Length	Maximum Plug Size	Maximum Service Temperature	Maximum Shackle Diameter	Maximum Stem Diameter	Maximum Switch Width	Maximum Valve Size	Minimum Pipe Diameter	Minimum Service Temperature	Minimum Stem Diameter	Minimum Valve Size	Non-conductive Cable?	Non-conductive?	Number of Jaws	Number of Loops	Open or Closed Valve?	Padlocks Included	Pipe Diameter Range	Plug Lockout Type	Plug Voltage	Reverse Label Message	Rising Stem Knockout Hole Diameter	Risk Type	Service Temperature Range	Single-pole Lockout Type	Station Color	Station Depth	Station Features	Station Height	Station Material	Station Width	Steel Type	Stem Diameter Range	Storage Container Color	Storage Container Depth	Storage Container Finish/Coating	Storage Container Height	Storage Container Language	Storage Container Material	Storage Container Type	Storage Container Width	Tags Included	Thread Type	Title	Tool Color	Training Material Type	Type	Valve Lockouts Included	Valve Size Range	Valve Stem Hole Size	Valve Wheel Diameter	Video Format	Video Length	Voltage	Wall Switch Type	Width	With Cable?
Y140461																																																							OSHA 29 CFR 1910.147ANSI Z244									Orange	0.433 in	7.008 in	Nylon	Snap-In	1.604 in			Not High-Visibility							No Label Attached																							6								0.378 in									Non-Conductive	1									Mechanical Risk																																		
Y1449336																																											Single-Pole												ANSI Z244, OSHA 29 CFR 1910.147							0.42 in																										Red	0.74 in		2.56 in		Glass-filled Polyurethane	2.56 x 0.95 x 0.74 in		0.95 in																																	Electrical Risk		No-Hole Clamp-On																													120/277 V			
Y1672594																													2-5/8 in		12-1/8 in	Checkout Tags, Key TagsHooks	Steel	Cabinet	8 in																		Opaque																										No Label Attached		Lockable																																																																																		
Y1881775																																																				Electrical Risk Lockouts		(1) Breaker Lockout Kit																																																																																																													
Y1984198																																																				Electrical Risk Lockouts		(1) Electrical Lockout Starter Kit																																																																																																													
Y2231426																	Red																																																																																																																																																		Without Cable
Y2231428																	Green																																																																																																																																																		Without Cable
Y2231433																																					Red			1.5 m																																																																															Non-Conductive		Single-loop								Electrical Risk																																		
Y2231435																																					Green			1.5 m																																																																															Non-Conductive		Single-loop								Electrical Risk																																		
Y1454607																	Blue		7.19 in	Nylon																	Silver	1/8 in	Galvanized	6 ft	Pull-tight	Steel													ANSI Z244, OSHA 29 CFR 1910.147																					Tool Not Required			No Label Attached																							1																Cable Not Non-Conductive											Mechanical Risk																																		With Cable
Y1672633																													4-1/8 in		20-1/2 in	Checkout TagsHooksKey Tags	Steel	Cabinet	16-1/2 in																		Opaque																										No Label Attached		Lockable																																																																																		
Y1761164																																																													1/8 to 2-1/2 in																											Red	1 in		5.57 in		Nylon			3.37 in																							Not Non-Conductive										Mechanical Risk																																		
Y1860829																																																Red																																									2.36 in			1.38 in			Fuse Lockout	0.59 in		Metal (Screw)/Nylon Plastic																															Electrical Risk																																		
Y196597																																																							ANSI Z244, OSHA 29 CFR 1910.147																																	Red	0.54 in				Fiberglass Reinforced Nylon		Pin In Standard	0.95 in														9/32 in																			Electrical Risk																																		
Y196598																																																							ANSI Z244, OSHA 29 CFR 1910.147																																	Red	0.54 in				Fiberglass Reinforced Nylon		Pin In Standard	0.95 in														9/32 in																			Electrical Risk																																		
Y196600																																																							ANSI Z244, OSHA 29 CFR 1910.147																																	Red			1.64 in		Fiberglass Reinforced Nylon		Pin Out Wide	0.83 in														9/32 in																			Electrical Risk																																		
Y196705																																																							ANSI Z244, OSHA 29 CFR 1910.147																																	Red	0.95 in		2.16 in		Fiberglass Reinforced Nylon	2.16 x 1.23 x 0.95 in	Tie Bar Lockout	1.23 in														9/32 in																			Electrical Risk																																		
Y196706																																																							ANSI Z244OSHA 29 CFR 1910.147																																	Red	0.95 in		2.16 in		Fiberglass Reinforced Nylon	2.16 x 1.23 x 0.95 in	Tie Bar Lockout	1.23 in														9/32 in																			Electrical Risk																																		
Y198938																																																		High-pressure Cylinder					ANSI Z244, OSHA 29 CFR 1910.147	Powder-coated																																Yellow		3.858 in	9.962 in		Steel			5.004 in						1							+95 °C						-35 °C				Not Non-Conductive										Mechanical Risk	-35 to +95 °C																			Fine														
Y198939																																																		High-pressure Cylinder					ANSI Z244, OSHA 29 CFR 1910.147	Powder-coated																																Yellow		3.858 in	9.962 in		Steel			5.004 in						1							+95 °C						-35 °C				Not Non-Conductive										Mechanical Risk	-35 to +95 °C																			Coarse														
Y211876																																												Clear Window											ANSI Z244, OSHA 29 CFR 1910.147																			Plastic Hooks			English	GROUP LOCKOUT				Yellow on Red	2-1/2 in	7-1/2 in	Acrylic	Wall Mount	15-3/4 in																	14																																																	Group Lockout Box										
Y2231423																	Red																																																																																																																Mechanical Risk																																		Without Cable
Y2231424																	Yellow																																																																																																																Mechanical Risk																																		Without Cable
Y2231425																	Green																																																																																																																Mechanical Risk																																		Without Cable
Y2231430		Lockout Operating Tool																																																																																																																																																					Yellow												
Y2231431		Lockout Operating Tool																																																																																																																																																					Green												
Y2231432		Lockout Operating Tool																																																																																																Copper/Stainless Steel																																																																	
Y2231484																	Red																																																																																																																Mechanical Risk																																		
Y235176	(1) Polyethylene Carrying Case																																																			Electrical Risk Lockouts		(3) Single-Pole Breaker Lockouts(1) Large Plug Lockout, (2) Multi-Pole Breaker Lockouts						(1) Lock Box: 7 in H x 12 in W x 5 in D										(3) 1-1/2 in Steel Lockout Hasps										(14) Padlock Identifier Stickers																	(1) Lockout Training Booklet																										(3) Blue Prinzing Padlocks																	Gray	5 in		7 in		Polyethylene	Box	12 in	(1) Package of 10 Lockout Tags with Ties															
Y241895	(5) 1-1/2 in Multiple Lockout Devices																																																			Mechanical Risk Lockouts																		(5) 1-1/2 in Lockout Hasps																											(10) Spanish Lockout Safety Booklets, (15) English Lockout Safety Booklets																										(6) Multi-Color Padlocks																	Black/Red on Yellow	4-1/2 in		30 in	English/Spanish	Acrylic Plastic	Open-front Wall-mounted Station	24 in	(2) Packages of 10 Bilingual Lockout Tags with Ties															
Y241897																																																				Mechanical Risk Lockouts																																																																																																															
