TaxID	TaxonomyPath	AttID	AttributeName	Value
6FF2544B-64F6-4803-AC48-0805EA97979E	PCM Team Workspace>Lockout Tagout>Lockout Tagout Procedures, Software & Training>Lockout Tagout Training>Lockout Tagout Training Kits & Bags>Lockout Tagout Training Kits	60E23D4A-E728-4B53-B010-0572B2D61CBB	Tags Included	(1) Brady Safety Tags, (1) Tagout Warning Tags
6FF2544B-64F6-4803-AC48-0805EA97979E	PCM Team Workspace>Lockout Tagout>Lockout Tagout Procedures, Software & Training>Lockout Tagout Training>Lockout Tagout Training Kits & Bags>Lockout Tagout Training Kits	C0D5BB53-98D7-4A4D-8F8A-03B8E69049FD	Electrical Lockouts Included	(1) Universal Multi-pole Breaker Lockout, (1) No Hole Circuit Breaker Lockout 277 Volt Device, (1) Oversized 480-600 Breaker Lockout Device, (1) 480-600V Breaker Lockout Kit, (1) Miniature Circuit Breaker Lockouts - Pin-out Standard, (1) Miniature Circuit Breaker Lockouts - Pin-in Standard, (1) Miniature Circuit Breaker Lockouts - Pin-out Wide, (1) Miniature Circuit Breaker Lockouts - Tie-bar
6FF2544B-64F6-4803-AC48-0805EA97979E	PCM Team Workspace>Lockout Tagout>Lockout Tagout Procedures, Software & Training>Lockout Tagout Training>Lockout Tagout Training Kits & Bags>Lockout Tagout Training Kits	FD9F4EDF-644E-48E0-BCBB-848C5D79FF91	Current Production Status	Built
6FF2544B-64F6-4803-AC48-0805EA97979E	PCM Team Workspace>Lockout Tagout>Lockout Tagout Procedures, Software & Training>Lockout Tagout Training>Lockout Tagout Training Kits & Bags>Lockout Tagout Training Kits	FD9F4EDF-644E-48E0-BCBB-848C5D79FF91	Current Production Status	Not Found
6FF2544B-64F6-4803-AC48-0805EA97979E	PCM Team Workspace>Lockout Tagout>Lockout Tagout Procedures, Software & Training>Lockout Tagout Training>Lockout Tagout Training Kits & Bags>Lockout Tagout Training Kits	FD9F4EDF-644E-48E0-BCBB-848C5D79FF91	Current Production Status	To Be Built
6FF2544B-64F6-4803-AC48-0805EA97979E	PCM Team Workspace>Lockout Tagout>Lockout Tagout Procedures, Software & Training>Lockout Tagout Training>Lockout Tagout Training Kits & Bags>Lockout Tagout Training Kits	01A32359-CBF9-4822-BB4E-AFC871A8C9BB	Manuals & Training Materials Included	(1) Padlocks Flyer 25/Pack
6FF2544B-64F6-4803-AC48-0805EA97979E	PCM Team Workspace>Lockout Tagout>Lockout Tagout Procedures, Software & Training>Lockout Tagout Training>Lockout Tagout Training Kits & Bags>Lockout Tagout Training Kits	7E6A1468-0449-421A-8F1E-2756A686DDCA	Kit Size	Big Bag
6FF2544B-64F6-4803-AC48-0805EA97979E	PCM Team Workspace>Lockout Tagout>Lockout Tagout Procedures, Software & Training>Lockout Tagout Training>Lockout Tagout Training Kits & Bags>Lockout Tagout Training Kits	7E6A1468-0449-421A-8F1E-2756A686DDCA	Kit Size	Small Bag
6FF2544B-64F6-4803-AC48-0805EA97979E	PCM Team Workspace>Lockout Tagout>Lockout Tagout Procedures, Software & Training>Lockout Tagout Training>Lockout Tagout Training Kits & Bags>Lockout Tagout Training Kits	D80E8B05-A6EA-4A06-BF17-4FC762A4053F	Bag Color	Black on Black/Red
6FF2544B-64F6-4803-AC48-0805EA97979E	PCM Team Workspace>Lockout Tagout>Lockout Tagout Procedures, Software & Training>Lockout Tagout Training>Lockout Tagout Training Kits & Bags>Lockout Tagout Training Kits	4FB7C94A-BBE5-40E7-9FA7-0C5F9B480D6E	Device Types in Kit	Cable & Chain Lockouts
6FF2544B-64F6-4803-AC48-0805EA97979E	PCM Team Workspace>Lockout Tagout>Lockout Tagout Procedures, Software & Training>Lockout Tagout Training>Lockout Tagout Training Kits & Bags>Lockout Tagout Training Kits	4FB7C94A-BBE5-40E7-9FA7-0C5F9B480D6E	Device Types in Kit	Accessories
6FF2544B-64F6-4803-AC48-0805EA97979E	PCM Team Workspace>Lockout Tagout>Lockout Tagout Procedures, Software & Training>Lockout Tagout Training>Lockout Tagout Training Kits & Bags>Lockout Tagout Training Kits	4FB7C94A-BBE5-40E7-9FA7-0C5F9B480D6E	Device Types in Kit	Electrical Lockouts
6FF2544B-64F6-4803-AC48-0805EA97979E	PCM Team Workspace>Lockout Tagout>Lockout Tagout Procedures, Software & Training>Lockout Tagout Training>Lockout Tagout Training Kits & Bags>Lockout Tagout Training Kits	4FB7C94A-BBE5-40E7-9FA7-0C5F9B480D6E	Device Types in Kit	Cable & Chain Lockouts/Manuals & Training Materials/Valve Lockouts
6FF2544B-64F6-4803-AC48-0805EA97979E	PCM Team Workspace>Lockout Tagout>Lockout Tagout Procedures, Software & Training>Lockout Tagout Training>Lockout Tagout Training Kits & Bags>Lockout Tagout Training Kits	4FB7C94A-BBE5-40E7-9FA7-0C5F9B480D6E	Device Types in Kit	Hasps
