TaxID	Taxonomy	AttributeID	AttributeName	DataType	NavigationOrder	DisplayOrder
70FE89EE-55E0-4BB3-B2C1-521804840D45	PCM Team Workspace>Lockout Tagout>Cable Lockouts & Chain Lockouts>Cable Lockout Accessories	738B66AD-E53C-489F-A91D-3638EB7D7393	Lockout Operating Tool Width	Numeric Text	0.000	6.000
70FE89EE-55E0-4BB3-B2C1-521804840D45	PCM Team Workspace>Lockout Tagout>Cable Lockouts & Chain Lockouts>Cable Lockout Accessories	8EB344F6-55E5-4F57-A64F-3E698FE74E22	Accessory Type	LOV	1.000	1.000
70FE89EE-55E0-4BB3-B2C1-521804840D45	PCM Team Workspace>Lockout Tagout>Cable Lockouts & Chain Lockouts>Cable Lockout Accessories	427050E3-64D3-42EB-B556-4544F0118E91	Ferrule Height	Numeric Text	0.000	9.000
70FE89EE-55E0-4BB3-B2C1-521804840D45	PCM Team Workspace>Lockout Tagout>Cable Lockouts & Chain Lockouts>Cable Lockout Accessories	9078B3B8-1F17-4AC7-A43B-560260EA1AC6	Ferrule Size	Numeric Text	0.000	7.000
70FE89EE-55E0-4BB3-B2C1-521804840D45	PCM Team Workspace>Lockout Tagout>Cable Lockouts & Chain Lockouts>Cable Lockout Accessories	DBED4BE4-67C0-4329-893E-8DBF5024668F	Lockout Operating Tool Depth	Numeric Text	0.000	4.000
70FE89EE-55E0-4BB3-B2C1-521804840D45	PCM Team Workspace>Lockout Tagout>Cable Lockouts & Chain Lockouts>Cable Lockout Accessories	DF39856A-3AA5-43F6-B9A6-A93E3766FF02	Material	LOV	0.000	3.000
70FE89EE-55E0-4BB3-B2C1-521804840D45	PCM Team Workspace>Lockout Tagout>Cable Lockouts & Chain Lockouts>Cable Lockout Accessories	B22D7B89-A14B-4DE8-9BA8-C65BC634F2AD	Tool Color	LOV	2.000	2.000
70FE89EE-55E0-4BB3-B2C1-521804840D45	PCM Team Workspace>Lockout Tagout>Cable Lockouts & Chain Lockouts>Cable Lockout Accessories	D226CE49-6C25-4F57-BF0A-CB2E4DB717BE	Ferrule Outside Diameter	Numeric Text	0.000	8.000
70FE89EE-55E0-4BB3-B2C1-521804840D45	PCM Team Workspace>Lockout Tagout>Cable Lockouts & Chain Lockouts>Cable Lockout Accessories	5E3B5B4D-8E30-4DA0-B98B-F2A8E41617DC	Lockout Operating Tool Height	Numeric Text	0.000	5.000
317B7331-56B0-410C-9184-954CD8153151	PCM Team Workspace>Lockout Tagout>Cable Lockouts & Chain Lockouts>Cable Lockout Devices	2414DDEC-157F-410E-9E41-14421E199B3B	Labeled?	LOV	9.000	18.000
317B7331-56B0-410C-9184-954CD8153151	PCM Team Workspace>Lockout Tagout>Cable Lockouts & Chain Lockouts>Cable Lockout Devices	88C2BD91-7804-46B1-8032-1C1F515DE9C7	Body Diameter	Numeric Text	0.000	17.000
317B7331-56B0-410C-9184-954CD8153151	PCM Team Workspace>Lockout Tagout>Cable Lockouts & Chain Lockouts>Cable Lockout Devices	89AE2D64-EB99-48CC-AC47-24F13775D698	Enables Industry Compliance	LOV	0.000	21.000
317B7331-56B0-410C-9184-954CD8153151	PCM Team Workspace>Lockout Tagout>Cable Lockouts & Chain Lockouts>Cable Lockout Devices	F11AFD9A-4971-4EAF-8914-33A1FF12508E	Cable Length	Numeric Text	3.000	3.000
317B7331-56B0-410C-9184-954CD8153151	PCM Team Workspace>Lockout Tagout>Cable Lockouts & Chain Lockouts>Cable Lockout Devices	3E5E56A8-9841-4D64-B378-39434A4ED9E9	Cable Finish/Coating	LOV	0.000	7.000
317B7331-56B0-410C-9184-954CD8153151	PCM Team Workspace>Lockout Tagout>Cable Lockouts & Chain Lockouts>Cable Lockout Devices	FB6030B3-6372-4FF6-8F67-4211AD8D107D	Installation Tool Required?	LOV	0.000	22.000
317B7331-56B0-410C-9184-954CD8153151	PCM Team Workspace>Lockout Tagout>Cable Lockouts & Chain Lockouts>Cable Lockout Devices	D72E243B-0F56-4E51-8F43-CDA98C76FF87	Body Depth	Numeric Text	0.000	16.000
317B7331-56B0-410C-9184-954CD8153151	PCM Team Workspace>Lockout Tagout>Cable Lockouts & Chain Lockouts>Cable Lockout Devices	074ADE7E-6FC7-44EA-B70F-D000CEC214AF	Non-conductive Cable?	LOV	5.000	5.000
317B7331-56B0-410C-9184-954CD8153151	PCM Team Workspace>Lockout Tagout>Cable Lockouts & Chain Lockouts>Cable Lockout Devices	6A6BB6B7-EFCA-429E-BF89-E255C68CAC9E	Maximum Number of Padlocks	Number	6.000	9.000
317B7331-56B0-410C-9184-954CD8153151	PCM Team Workspace>Lockout Tagout>Cable Lockouts & Chain Lockouts>Cable Lockout Devices	424C9EBA-6D7E-4F7E-8B87-E835D1652D78	Body Color	LOV	8.000	13.000
317B7331-56B0-410C-9184-954CD8153151	PCM Team Workspace>Lockout Tagout>Cable Lockouts & Chain Lockouts>Cable Lockout Devices	A044C484-5348-417E-AAB4-F2D6E4F9275D	Body Width	Numeric Text	0.000	15.000
317B7331-56B0-410C-9184-954CD8153151	PCM Team Workspace>Lockout Tagout>Cable Lockouts & Chain Lockouts>Cable Lockout Devices	259EFA5F-E2A7-47A9-86A8-889D8DE9102D	Maximum Shackle Diameter	Numeric Text	0.000	10.000
317B7331-56B0-410C-9184-954CD8153151	PCM Team Workspace>Lockout Tagout>Cable Lockouts & Chain Lockouts>Cable Lockout Devices	C9A15AF9-FBE7-4825-A4EF-9D077D02D05E	Body Height	Numeric Text	0.000	14.000
317B7331-56B0-410C-9184-954CD8153151	PCM Team Workspace>Lockout Tagout>Cable Lockouts & Chain Lockouts>Cable Lockout Devices	B9FCAFAB-2D8C-427A-9B25-AE45516C75CB	Cable Material	LOV	4.000	4.000
317B7331-56B0-410C-9184-954CD8153151	PCM Team Workspace>Lockout Tagout>Cable Lockouts & Chain Lockouts>Cable Lockout Devices	E1DAF007-7A16-45D2-9E56-B39B8D786AE7	Minimum Shackle Clearance	Numeric Text	0.000	11.000
317B7331-56B0-410C-9184-954CD8153151	PCM Team Workspace>Lockout Tagout>Cable Lockouts & Chain Lockouts>Cable Lockout Devices	DD6D4141-8041-47B7-8411-CA005E6C6BBB	Cable Diameter	Numeric Text	0.000	6.000
317B7331-56B0-410C-9184-954CD8153151	PCM Team Workspace>Lockout Tagout>Cable Lockouts & Chain Lockouts>Cable Lockout Devices	B9956138-F4CA-43E7-B8F9-CC187A2E1FF9	With Cable?	LOV	2.000	2.000
317B7331-56B0-410C-9184-954CD8153151	PCM Team Workspace>Lockout Tagout>Cable Lockouts & Chain Lockouts>Cable Lockout Devices	7697FD5C-AC89-468A-9DBA-462F9F8D63CE	Cable Color	LOV	0.000	8.000
317B7331-56B0-410C-9184-954CD8153151	PCM Team Workspace>Lockout Tagout>Cable Lockouts & Chain Lockouts>Cable Lockout Devices	171369EA-8755-4117-B781-489EFEC82BB7	Label Message	LOV	0.000	20.000
317B7331-56B0-410C-9184-954CD8153151	PCM Team Workspace>Lockout Tagout>Cable Lockouts & Chain Lockouts>Cable Lockout Devices	999423B9-D93D-492F-83CB-4B84BD9B647A	Cable Lockout Type	LOV	1.000	1.000
317B7331-56B0-410C-9184-954CD8153151	PCM Team Workspace>Lockout Tagout>Cable Lockouts & Chain Lockouts>Cable Lockout Devices	090D4502-AE2B-4EBC-8EDE-54B123C6B6D5	Label Language	LOV	0.000	19.000
317B7331-56B0-410C-9184-954CD8153151	PCM Team Workspace>Lockout Tagout>Cable Lockouts & Chain Lockouts>Cable Lockout Devices	30B47999-C641-459F-B5F5-68085DAD6967	Body Material	LOV	7.000	12.000
317B7331-56B0-410C-9184-954CD8153151	PCM Team Workspace>Lockout Tagout>Cable Lockouts & Chain Lockouts>Cable Lockout Devices	C2037A0B-3F33-4B41-86F0-7209A2A4504B	Risk Type	LOV	0.000	23.000
EB4CF1BA-AEF3-4751-B1BE-CD3B8F31E01B	PCM Team Workspace>Lockout Tagout>Cable Lockouts & Chain Lockouts>Lockout Cables	CEF14E9E-7EDA-4D8B-AE00-116617D80C7B	Non-conductive?	LOV	5.000	5.000
EB4CF1BA-AEF3-4751-B1BE-CD3B8F31E01B	PCM Team Workspace>Lockout Tagout>Cable Lockouts & Chain Lockouts>Lockout Cables	F11AFD9A-4971-4EAF-8914-33A1FF12508E	Cable Length	Numeric Text	1.000	1.000
