AttributeID	AttributeName
738B66AD-E53C-489F-A91D-3638EB7D7393	Lockout Operating Tool Width
8EB344F6-55E5-4F57-A64F-3E698FE74E22	Accessory Type
427050E3-64D3-42EB-B556-4544F0118E91	Ferrule Height
9078B3B8-1F17-4AC7-A43B-560260EA1AC6	Ferrule Size
DBED4BE4-67C0-4329-893E-8DBF5024668F	Lockout Operating Tool Depth
DF39856A-3AA5-43F6-B9A6-A93E3766FF02	Material
B22D7B89-A14B-4DE8-9BA8-C65BC634F2AD	Tool Color
D226CE49-6C25-4F57-BF0A-CB2E4DB717BE	Ferrule Outside Diameter
5E3B5B4D-8E30-4DA0-B98B-F2A8E41617DC	Lockout Operating Tool Height
2414DDEC-157F-410E-9E41-14421E199B3B	Labeled?
88C2BD91-7804-46B1-8032-1C1F515DE9C7	Body Diameter
89AE2D64-EB99-48CC-AC47-24F13775D698	Enables Industry Compliance
F11AFD9A-4971-4EAF-8914-33A1FF12508E	Cable Length
3E5E56A8-9841-4D64-B378-39434A4ED9E9	Cable Finish/Coating
FB6030B3-6372-4FF6-8F67-4211AD8D107D	Installation Tool Required?
D72E243B-0F56-4E51-8F43-CDA98C76FF87	Body Depth
074ADE7E-6FC7-44EA-B70F-D000CEC214AF	Non-conductive Cable?
6A6BB6B7-EFCA-429E-BF89-E255C68CAC9E	Maximum Number of Padlocks
424C9EBA-6D7E-4F7E-8B87-E835D1652D78	Body Color
A044C484-5348-417E-AAB4-F2D6E4F9275D	Body Width
259EFA5F-E2A7-47A9-86A8-889D8DE9102D	Maximum Shackle Diameter
C9A15AF9-FBE7-4825-A4EF-9D077D02D05E	Body Height
B9FCAFAB-2D8C-427A-9B25-AE45516C75CB	Cable Material
E1DAF007-7A16-45D2-9E56-B39B8D786AE7	Minimum Shackle Clearance
DD6D4141-8041-47B7-8411-CA005E6C6BBB	Cable Diameter
B9956138-F4CA-43E7-B8F9-CC187A2E1FF9	With Cable?
7697FD5C-AC89-468A-9DBA-462F9F8D63CE	Cable Color
171369EA-8755-4117-B781-489EFEC82BB7	Label Message
999423B9-D93D-492F-83CB-4B84BD9B647A	Cable Lockout Type
090D4502-AE2B-4EBC-8EDE-54B123C6B6D5	Label Language
30B47999-C641-459F-B5F5-68085DAD6967	Body Material
C2037A0B-3F33-4B41-86F0-7209A2A4504B	Risk Type
CEF14E9E-7EDA-4D8B-AE00-116617D80C7B	Non-conductive?
F11AFD9A-4971-4EAF-8914-33A1FF12508E	Cable Length
3E5E56A8-9841-4D64-B378-39434A4ED9E9	Cable Finish/Coating
7697FD5C-AC89-468A-9DBA-462F9F8D63CE	Cable Color
C2037A0B-3F33-4B41-86F0-7209A2A4504B	Risk Type
ED997C82-0A38-49AC-BE38-A8FFCB3B975C	Number of Loops
B9FCAFAB-2D8C-427A-9B25-AE45516C75CB	Cable Material
DD6D4141-8041-47B7-8411-CA005E6C6BBB	Cable Diameter
9D523A94-563B-4230-B1C8-294B320D822C	Chain Diameter
52A724DF-8D6B-4E6E-A1AF-32959560EE58	Chain Material
C2037A0B-3F33-4B41-86F0-7209A2A4504B	Risk Type
D67FE7FB-2F97-4E44-80F2-B6D9E2E01D18	Sleeve Material
88382E14-6B12-4EF6-B5DB-DCA0A802AB15	Chain Length
29E86A22-7A2D-4A57-8DCD-008F5BCCB44F	Mounting Rail Depth
62AFA405-27ED-4F3E-B11A-079B3DB311B2	Blocking Bar Material
D8040EB4-B35B-4D6A-90F2-0CF8FD0C475E	Blocking Bar Holder Width
7ED78210-EF0B-473A-900A-1B61766A4D88	Blocking Bar Width
75BA8909-EF73-4C41-8EA2-1D22A61841B7	Mounting Rail Width
89AE2D64-EB99-48CC-AC47-24F13775D698	Enables Industry Compliance
264A1D8C-C53C-4BC7-BD92-CA9272C2C13C	Mounting Rail Length
6A6BB6B7-EFCA-429E-BF89-E255C68CAC9E	Maximum Number of Padlocks
40B2613D-8AA9-4075-8AD5-E4EF482FE314	Lockout System Component
0952A567-21E5-4311-BC62-FF4852BDAEA0	Blocking Bar Depth
C2037A0B-3F33-4B41-86F0-7209A2A4504B	Risk Type
259EFA5F-E2A7-47A9-86A8-889D8DE9102D	Maximum Shackle Diameter
3A264DB9-B7C7-4BA5-8BAC-A2F06F668DB4	Includes
C96B1344-2BB0-4F61-9012-B4E827C33AFB	Blocking Bar Length
4CBE19DF-D2B2-4C44-AC56-C611C95C2396	Blocking Bar Holder Length
E2BB9EC6-FB31-4E26-9B46-C73B55D37021	Blocking Bar Color
85EA6C6E-54F2-4B81-85B1-319E4F0FA1D8	Blocking Bar Holder Depth
F46C9F1F-5180-485D-90BF-31FBDE397B41	Blocking Bar Holder Material
95B59C87-5EA6-41F3-B4ED-350A1797626C	Minimum Shackle Diameter
E006DE9E-F5FE-474E-9DD3-48068B65DEEA	Mounting Rail Material
B278466F-10DC-4355-BBC5-4DD9D6C741B6	Mounting Rail Color
B666CDAE-C39C-4110-9E9A-5B31CFC87632	Blocking Bar Holder Color
8EB344F6-55E5-4F57-A64F-3E698FE74E22	Accessory Type
6906A191-D594-4234-8B7A-64266BE543B9	Cleat Width
5EBBE6AF-DEB0-4CFF-A7A5-6DCDB29FA2A5	Voltage
0EF472C6-C143-4BE4-8363-7F7E7EDAE002	Color
DF39856A-3AA5-43F6-B9A6-A93E3766FF02	Material
97457C13-08CC-4F2E-A853-B7B5A77DE7AC	Cleat Height
675949EA-8FDA-47E0-A185-C23EE327C9AD	Cleat Depth
A96B1F20-C4EF-457B-BA85-13B12E227A6B	Lockout Depth
AEB91158-6486-4B8B-818A-1538B0E6D070	Lockout Height
89AE2D64-EB99-48CC-AC47-24F13775D698	Enables Industry Compliance
CD9828A7-4B72-4C26-944E-332B0D880C5C	Lockout Color
402A28BA-5783-472F-A6CB-5A9D18B229EA	Circuit Breaker Lockout Type
7A134F50-7424-4019-B7F5-647FB0055F18	Single-pole Lockout Type
4872FE7D-9661-40E0-8EE4-A79145AF1C56	Lockout Material
E1DAF007-7A16-45D2-9E56-B39B8D786AE7	Minimum Shackle Clearance
CEF822BB-F427-48E1-BB0D-FE44EC093B60	Lockout Width
5EBBE6AF-DEB0-4CFF-A7A5-6DCDB29FA2A5	Voltage
C2037A0B-3F33-4B41-86F0-7209A2A4504B	Risk Type
B82BA954-E7DF-4E22-9D25-7538BCE1E943	Handle/Toggle Width
259EFA5F-E2A7-47A9-86A8-889D8DE9102D	Maximum Shackle Diameter
A9DB7151-60E8-4B0B-87ED-9587EF8F5C7F	Lockout Size
3A264DB9-B7C7-4BA5-8BAC-A2F06F668DB4	Includes
A96B1F20-C4EF-457B-BA85-13B12E227A6B	Lockout Depth
AEB91158-6486-4B8B-818A-1538B0E6D070	Lockout Height
89AE2D64-EB99-48CC-AC47-24F13775D698	Enables Industry Compliance
E4E2BC2F-CB0A-47ED-9591-29EF1090F757	Spacing Gasket Length
CD9828A7-4B72-4C26-944E-332B0D880C5C	Lockout Color
F11AFD9A-4971-4EAF-8914-33A1FF12508E	Cable Length
506B1609-CBFA-4D74-A9C0-E1CC62250EFE	Spacing Gasket Size
6A6BB6B7-EFCA-429E-BF89-E255C68CAC9E	Maximum Number of Padlocks
40B2613D-8AA9-4075-8AD5-E4EF482FE314	Lockout System Component
B776A817-F1F4-4161-BA30-EB0F9ED9E446	Lock Rail Color
855E5D89-C681-43C0-A218-EB12D0C6AECC	Lock Rail Length
CEF822BB-F427-48E1-BB0D-FE44EC093B60	Lockout Width
4872FE7D-9661-40E0-8EE4-A79145AF1C56	Lockout Material
F188B538-434E-45BD-834A-A9FF0BDEE525	Spacing Gasket Width
B9FCAFAB-2D8C-427A-9B25-AE45516C75CB	Cable Material
EAA5940A-BA0E-4950-8418-B3D78EEDAAEC	Lock Rail Material
9C3A37AE-39A5-4186-A206-C43F0A5F7AC7	Spacing Gasket Material
22D1BA05-8DD6-4981-8F74-D14472EBA3E1	Spacing Gasket Color
3E5E56A8-9841-4D64-B378-39434A4ED9E9	Cable Finish/Coating
7697FD5C-AC89-468A-9DBA-462F9F8D63CE	Cable Color
C2037A0B-3F33-4B41-86F0-7209A2A4504B	Risk Type
25C50A78-A7E7-4ABC-9ED4-86843BBE4D1A	Spacing Gasket Depth
259EFA5F-E2A7-47A9-86A8-889D8DE9102D	Maximum Shackle Diameter
A9DB7151-60E8-4B0B-87ED-9587EF8F5C7F	Lockout Size
A96B1F20-C4EF-457B-BA85-13B12E227A6B	Lockout Depth
AEB91158-6486-4B8B-818A-1538B0E6D070	Lockout Height
89AE2D64-EB99-48CC-AC47-24F13775D698	Enables Industry Compliance
CD9828A7-4B72-4C26-944E-332B0D880C5C	Lockout Color
F18660C1-D5ED-4CDA-B370-66A3C93DF343	Lockout Type
C2037A0B-3F33-4B41-86F0-7209A2A4504B	Risk Type
259EFA5F-E2A7-47A9-86A8-889D8DE9102D	Maximum Shackle Diameter
A9DB7151-60E8-4B0B-87ED-9587EF8F5C7F	Lockout Size
4872FE7D-9661-40E0-8EE4-A79145AF1C56	Lockout Material
CEF822BB-F427-48E1-BB0D-FE44EC093B60	Lockout Width
A96B1F20-C4EF-457B-BA85-13B12E227A6B	Lockout Depth
450622CD-743E-4BF1-8F51-15FE1F0AE9EE	Blockout Height
89AE2D64-EB99-48CC-AC47-24F13775D698	Enables Industry Compliance
D659CF82-6EF4-4190-87E8-4F0E130AD67E	Fuse Size
F18660C1-D5ED-4CDA-B370-66A3C93DF343	Lockout Type
C2037A0B-3F33-4B41-86F0-7209A2A4504B	Risk Type
070D05E7-D2CF-414F-BC93-7CCEADC2B952	Blockout Center Hub Width
0EF472C6-C143-4BE4-8363-7F7E7EDAE002	Color
21E0B81D-6155-4816-BE8C-8F05AA3A874B	Lockout Length
DF39856A-3AA5-43F6-B9A6-A93E3766FF02	Material
CEF822BB-F427-48E1-BB0D-FE44EC093B60	Lockout Width
A96B1F20-C4EF-457B-BA85-13B12E227A6B	Lockout Depth
2414DDEC-157F-410E-9E41-14421E199B3B	Labeled?
0ACACC8D-56B1-4926-B183-1C784AB0C398	Maximum Plug Size
EF731571-35E0-4222-A279-24922163E5D3	Lockout Diameter
89AE2D64-EB99-48CC-AC47-24F13775D698	Enables Industry Compliance
CD9828A7-4B72-4C26-944E-332B0D880C5C	Lockout Color
2B9518C2-496D-4DE0-B8C9-EE119FB977D1	Maximum Cord Diameter
CEF822BB-F427-48E1-BB0D-FE44EC093B60	Lockout Width
21E0B81D-6155-4816-BE8C-8F05AA3A874B	Lockout Length
A9DB7151-60E8-4B0B-87ED-9587EF8F5C7F	Lockout Size
B97910A3-CE38-47EA-92D7-9FF508F9F412	Plug Voltage
4872FE7D-9661-40E0-8EE4-A79145AF1C56	Lockout Material
6E8FC7ED-810C-4554-8F38-A83530DA452F	Plug Lockout Type
6A6BB6B7-EFCA-429E-BF89-E255C68CAC9E	Maximum Number of Padlocks
EADCADEC-5B47-4607-90B0-3AEADE0D60C6	Maximum Plug Diameter
171369EA-8755-4117-B781-489EFEC82BB7	Label Message
090D4502-AE2B-4EBC-8EDE-54B123C6B6D5	Label Language
8BADE28D-5F71-461C-8FE4-59C23BA9B1DA	Maximum Plug Length
C2037A0B-3F33-4B41-86F0-7209A2A4504B	Risk Type
