TaxonomyId	TaxonomyPath	T1	T2	T3	T4	T5	T6	T7	T8	T9	TerminalNodeName
144A7D05-4BB8-4853-AE93-B989AC4DF735	PCM Team Workspace>Lockout Tagout	PCM Team Workspace	Lockout Tagout	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Lockout Tagout
0029D206-8CD5-45D9-B36D-A31915583034	PCM Team Workspace>Lockout Tagout>Cable Lockouts & Chain Lockouts	PCM Team Workspace	Lockout Tagout	Cable Lockouts & Chain Lockouts	NULL	NULL	NULL	NULL	NULL	NULL	Cable Lockouts & Chain Lockouts
71BB1DBF-0423-475D-989A-D2DD5AD1EDFE	PCM Team Workspace>Lockout Tagout>Custom Lockout Tagout Items	PCM Team Workspace	Lockout Tagout	Custom Lockout Tagout Items	NULL	NULL	NULL	NULL	NULL	NULL	Custom Lockout Tagout Items
37D312CF-D6E5-453C-9C88-B9B7CD6C1130	PCM Team Workspace>Lockout Tagout>Electrical Equipment Lockouts	PCM Team Workspace	Lockout Tagout	Electrical Equipment Lockouts	NULL	NULL	NULL	NULL	NULL	NULL	Electrical Equipment Lockouts
6D8531FB-93BD-4B38-898B-622ED0743221	PCM Team Workspace>Lockout Tagout>Group Lockout Boxes	PCM Team Workspace	Lockout Tagout	Group Lockout Boxes	NULL	NULL	NULL	NULL	NULL	NULL	Group Lockout Boxes
E081E47C-7878-46FE-B445-FEC2E2CEEFE4	PCM Team Workspace>Lockout Tagout>Lockout Cinch Bags	PCM Team Workspace	Lockout Tagout	Lockout Cinch Bags	NULL	NULL	NULL	NULL	NULL	NULL	Lockout Cinch Bags
57DAF252-5383-4754-84AC-68D35AC1CCEB	PCM Team Workspace>Lockout Tagout>Lockout Hasps	PCM Team Workspace	Lockout Tagout	Lockout Hasps	NULL	NULL	NULL	NULL	NULL	NULL	Lockout Hasps
C56256A4-57DD-4309-BE5E-DF7A9B7491B6	PCM Team Workspace>Lockout Tagout>Lockout Tagout Procedures, Software & Training	PCM Team Workspace	Lockout Tagout	Lockout Tagout Procedures, Software & Training	NULL	NULL	NULL	NULL	NULL	NULL	Lockout Tagout Procedures, Software & Training
766C50B4-CD3B-46C1-9FFE-3640C12E43FF	PCM Team Workspace>Lockout Tagout>Lockout Tagout Stations & Lockout Tagout Kits	PCM Team Workspace	Lockout Tagout	Lockout Tagout Stations & Lockout Tagout Kits	NULL	NULL	NULL	NULL	NULL	NULL	Lockout Tagout Stations & Lockout Tagout Kits
9AD25301-A402-4993-A391-9F7F5763D1E2	PCM Team Workspace>Lockout Tagout>Lockout Tagout Tags, Labels & Signs	PCM Team Workspace	Lockout Tagout	Lockout Tagout Tags, Labels & Signs	NULL	NULL	NULL	NULL	NULL	NULL	Lockout Tagout Tags, Labels & Signs
C5DB9CC1-C88C-47EC-B761-A0165172952C	PCM Team Workspace>Lockout Tagout>Padlocks & Padlock Labels	PCM Team Workspace	Lockout Tagout	Padlocks & Padlock Labels	NULL	NULL	NULL	NULL	NULL	NULL	Padlocks & Padlock Labels
1040B964-6037-421B-90DB-4937B50F6A55	PCM Team Workspace>Lockout Tagout>Valve Lockouts & Hose Lockouts	PCM Team Workspace	Lockout Tagout	Valve Lockouts & Hose Lockouts	NULL	NULL	NULL	NULL	NULL	NULL	Valve Lockouts & Hose Lockouts
70FE89EE-55E0-4BB3-B2C1-521804840D45	PCM Team Workspace>Lockout Tagout>Cable Lockouts & Chain Lockouts>Cable Lockout Accessories	PCM Team Workspace	Lockout Tagout	Cable Lockouts & Chain Lockouts	Cable Lockout Accessories	NULL	NULL	NULL	NULL	NULL	Cable Lockout Accessories
317B7331-56B0-410C-9184-954CD8153151	PCM Team Workspace>Lockout Tagout>Cable Lockouts & Chain Lockouts>Cable Lockout Devices	PCM Team Workspace	Lockout Tagout	Cable Lockouts & Chain Lockouts	Cable Lockout Devices	NULL	NULL	NULL	NULL	NULL	Cable Lockout Devices
EB4CF1BA-AEF3-4751-B1BE-CD3B8F31E01B	PCM Team Workspace>Lockout Tagout>Cable Lockouts & Chain Lockouts>Lockout Cables	PCM Team Workspace	Lockout Tagout	Cable Lockouts & Chain Lockouts	Lockout Cables	NULL	NULL	NULL	NULL	NULL	Lockout Cables
34E76C0F-FEA6-4696-8C63-F63A094589A9	PCM Team Workspace>Lockout Tagout>Cable Lockouts & Chain Lockouts>Lockout Chains	PCM Team Workspace	Lockout Tagout	Cable Lockouts & Chain Lockouts	Lockout Chains	NULL	NULL	NULL	NULL	NULL	Lockout Chains
01EDA19A-D918-4AF2-A0FF-C2FB76FC4C9F	PCM Team Workspace>Lockout Tagout>Cable Lockouts & Chain Lockouts>Lockout Tagout Kits	PCM Team Workspace	Lockout Tagout	Cable Lockouts & Chain Lockouts	Lockout Tagout Kits	NULL	NULL	NULL	NULL	NULL	Lockout Tagout Kits
53E41053-C585-495B-8CDF-BEA977E64C4A	PCM Team Workspace>Lockout Tagout>Custom Lockout Tagout Items>Custom Lockout Tagout Kits	PCM Team Workspace	Lockout Tagout	Custom Lockout Tagout Items	Custom Lockout Tagout Kits	NULL	NULL	NULL	NULL	NULL	Custom Lockout Tagout Kits
4844E516-D9D1-4B46-BBD0-3A6030FB9D11	PCM Team Workspace>Lockout Tagout>Custom Lockout Tagout Items>Custom Lockout Tagout Stations	PCM Team Workspace	Lockout Tagout	Custom Lockout Tagout Items	Custom Lockout Tagout Stations	NULL	NULL	NULL	NULL	NULL	Custom Lockout Tagout Stations
C7B4565A-5F41-4AE6-BAF9-B7911C99CF43	PCM Team Workspace>Lockout Tagout>Custom Lockout Tagout Items>Custom Lockout Tagout Tags, Labels & Signs	PCM Team Workspace	Lockout Tagout	Custom Lockout Tagout Items	Custom Lockout Tagout Tags, Labels & Signs	NULL	NULL	NULL	NULL	NULL	Custom Lockout Tagout Tags, Labels & Signs
A451C591-C737-4009-AF14-C2D4B32B47E3	PCM Team Workspace>Lockout Tagout>Custom Lockout Tagout Items>Custom Padlocks & Padlock Labels	PCM Team Workspace	Lockout Tagout	Custom Lockout Tagout Items	Custom Padlocks & Padlock Labels	NULL	NULL	NULL	NULL	NULL	Custom Padlocks & Padlock Labels
51FCB0E4-D1B8-4553-9401-8594C675170D	PCM Team Workspace>Lockout Tagout>Electrical Equipment Lockouts>Circuit Breaker & Fuse Lockouts	PCM Team Workspace	Lockout Tagout	Electrical Equipment Lockouts	Circuit Breaker & Fuse Lockouts	NULL	NULL	NULL	NULL	NULL	Circuit Breaker & Fuse Lockouts
0D96C34D-6474-4B57-B995-5823F18440CF	PCM Team Workspace>Lockout Tagout>Electrical Equipment Lockouts>Electrical Plug Lockouts	PCM Team Workspace	Lockout Tagout	Electrical Equipment Lockouts	Electrical Plug Lockouts	NULL	NULL	NULL	NULL	NULL	Electrical Plug Lockouts
1F1DDA68-0D19-46B4-BD1C-8A6B3E620CA1	PCM Team Workspace>Lockout Tagout>Electrical Equipment Lockouts>Electrical Plug/Pneumatic Hose Lockouts	PCM Team Workspace	Lockout Tagout	Electrical Equipment Lockouts	Electrical Plug/Pneumatic Hose Lockouts	NULL	NULL	NULL	NULL	NULL	Electrical Plug/Pneumatic Hose Lockouts
45789F76-6DB7-4346-B7E5-73024B23E46C	PCM Team Workspace>Lockout Tagout>Electrical Equipment Lockouts>Lockout Tagout Kits	PCM Team Workspace	Lockout Tagout	Electrical Equipment Lockouts	Lockout Tagout Kits	NULL	NULL	NULL	NULL	NULL	Lockout Tagout Kits
EDC1F10C-2FDA-43D4-A998-1AEA2275CAD3	PCM Team Workspace>Lockout Tagout>Electrical Equipment Lockouts>Push-button, Rotary & Wall Switch Lockouts	PCM Team Workspace	Lockout Tagout	Electrical Equipment Lockouts	Push-button, Rotary & Wall Switch Lockouts	NULL	NULL	NULL	NULL	NULL	Push-button, Rotary & Wall Switch Lockouts
C2B8C460-6CEC-470B-BFD7-F8E4D41AF638	PCM Team Workspace>Lockout Tagout>Lockout Tagout Procedures, Software & Training>Lockout Tagout Procedures	PCM Team Workspace	Lockout Tagout	Lockout Tagout Procedures, Software & Training	Lockout Tagout Procedures	NULL	NULL	NULL	NULL	NULL	Lockout Tagout Procedures
2B5D0B4A-3454-44F9-AA82-2909220F07BD	PCM Team Workspace>Lockout Tagout>Lockout Tagout Procedures, Software & Training>Lockout Tagout Software	PCM Team Workspace	Lockout Tagout	Lockout Tagout Procedures, Software & Training	Lockout Tagout Software	NULL	NULL	NULL	NULL	NULL	Lockout Tagout Software
6030BEF0-BAE2-4058-95F6-93145240F75E	PCM Team Workspace>Lockout Tagout>Lockout Tagout Procedures, Software & Training>Lockout Tagout Training	PCM Team Workspace	Lockout Tagout	Lockout Tagout Procedures, Software & Training	Lockout Tagout Training	NULL	NULL	NULL	NULL	NULL	Lockout Tagout Training
